,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%)
"2010","03","아시아","스리랑카","684","-7.69","74","-28.85","65","20.37","2","100.00","8","-11.11","535","-6.63"
"2010","03","아시아","방글라데시","632","36.50","113","-8.13","127","38.04","21","133.33","61","60.53","310","54.23"
"2010","03","아시아","파키스탄","852","9.65","97","-40.85","346","32.57","3","200.00","55","189.47","351","5.72"
"2010","03","아시아","이스라엘","1,239","56.44","1,158","58.63","7","16.67","0","0.00","4","300.00","70","27.27"
"2010","03","아시아","이란","818","0.49","223","17.37","302","-21.96","0","0.00","16","166.67","277","19.91"
"2010","03","아시아","아시아 기타","1,960","15.23","827","36.24","724","17.15","23","-69.33","83","16.90","303","-8.18"
"2010","03","아시아 소계","","602,029","5.34","448,566","3.36","21,479","6.61","577","15.63","17,065","59.56","114,342","7.68"
"2010","03","아메리카","미국","54,610","6.55","40,143","9.42","1,250","-21.48","1,533","5.87","61","-14.08","11,623","1.48"
"2010","03","아메리카","캐나다","10,001","-1.87","7,205","3.19","117","2.63","6","-62.50","8","60.00","2,665","-13.33"
"2010","03","아메리카","브라질","979","20.27","651","37.92","38","11.76","1","-50.00","8","0.00","281","-5.70"
"2010","03","아메리카","멕시코","530","-6.36","372","12.05","8","-50.00","1","0.00","8","300.00","141","-34.72"
"2010","03","아메리카","아메리카 기타","1,420","-0.77","770","8.45","23","-46.51","9","12.50","40","8.11","578","-8.69"
"2010","03","아메리카 소계","","67,540","5.11","49,141","8.76","1,436","-20.18","1,550","5.16","125","1.63","15,288","-2.47"
"2010","03","유럽","러시아","10,597","3.31","3,986","4.54","679","31.08","15","-54.55","73","-16.09","5,844","0.65"
"2010","03","유럽","영국","8,782","-21.24","7,020","-12.52","347","-4.67","5","66.67","10","150.00","1,400","-49.18"
"2010","03","유럽","독일","10,378","6.20","7,649","3.95","193","-4.93","10","-16.67","29","7.41","2,497","14.96"
"2010","03","유럽","프랑스","5,140","-0.70","3,874","5.53","273","-1.80","23","-46.51","54","12.50","916","-19.37"
"2010","03","유럽","이탈리아","1,982","-1.93","1,711","5.23","38","26.67","12","200.00","6","-25.00","215","-39.09"
"2010","03","유럽","네덜란드","2,059","5.59","1,541","8.75","46","9.52","1","-50.00","6","100.00","465","-4.32"
"2010","03","유럽","우크라이나","2,067","3.30","298","-12.87","21","50.00","0","0.00","8","100.00","1,740","6.03"
"2010","03","유럽","스페인","918","22.40","789","33.50","17","6.25","6","20.00","8","700.00","98","-28.47"
"2010","03","유럽","루마니아","735","21.69","178","12.66","14","-26.32","0","0.00","5","66.67","538","26.89"
"2010","03","유럽","노르웨이","1,324","22.59","936","18.63","269","40.10","0","0.00","2","0.00","117","20.62"
"2010","03","유럽","스웨덴","1,109","5.62","885","5.86","69","60.47","3","-50.00","9","28.57","143","-9.49"
"2010","03","유럽","폴란드","952","10.19","464","37.28","16","-30.43","0","-100.00","8","60.00","464","-6.64"
"2010","03","유럽","스위스","941","7.91","769","10.49","22","22.22","0","0.00","0","-100.00","150","-3.85"
